Protein1,Protein2,Combined Score
0,1,744
0,2,656
0,3,309
0,4,557
0,5,354
0,50,335
0,59,163
0,71,163
0,81,301
0,82,311
0,83,393
0,85,292
0,86,172
0,92,200
0,118,172
0,128,360
0,132,235
0,135,438
0,136,234
0,138,159
0,145,282
0,146,222
0,147,176
0,148,172
0,149,499
0,150,534
0,152,176
0,171,216
0,172,151
0,199,196
0,202,189
0,217,426
0,230,352
0,231,164
0,249,358
0,280,731
0,281,250
0,282,727
0,283,323
0,284,204
0,286,552
0,300,321
0,306,164
0,312,261
0,315,369
0,316,180
0,321,447
0,326,241
0,328,535
0,338,165
0,352,230
0,360,218
0,362,810
0,363,865
0,366,281
0,367,336
0,372,569
0,383,166
0,384,856
0,387,210
0,390,232
0,391,230
0,392,151
0,394,156
0,398,464
0,407,173
0,414,151
0,427,189
0,428,439
0,440,187
0,479,284
0,481,342
0,483,175
0,490,261
0,512,166
0,515,486
0,518,420
0,524,165
0,542,207
0,547,414
0,550,397
0,553,331
0,555,221
0,565,182
0,567,175
0,570,152
0,580,470
0,583,193
0,590,253
0,596,177
0,604,166
0,608,150
0,609,300
0,610,226
0,618,219
0,626,188
0,632,411
0,638,191
0,647,556
0,656,266
0,665,288
0,734,285
0,736,169
0,737,189
0,738,161
0,740,320
0,744,170
0,745,341
0,752,209
0,758,173
0,763,474
0,765,161
0,771,549
0,785,153
0,789,155
0,837,155
0,839,155
0,877,540
0,921,279
1,2,265
1,3,229
1,4,228
1,50,309
1,59,160
1,108,214
1,111,213
1,132,453
1,135,267
1,136,243
1,137,191
1,146,159
1,147,196
1,149,236
1,150,176
1,152,346
1,171,337
1,172,178
1,177,187
1,178,369
1,190,159
1,213,240
1,215,222
1,229,293
1,237,166
1,240,185
1,263,186
1,264,181
1,265,168
1,266,293
1,267,245
1,280,582
1,282,522
1,286,448
1,300,224
1,312,217
1,315,193
1,321,450
1,326,225
1,328,372
1,348,165
1,360,156
1,362,482
1,363,430
1,367,269
1,372,173
1,382,175
1,384,479
1,386,588
1,387,159
1,390,151
1,392,758
1,398,150
1,413,164
1,414,155
1,415,414
1,419,461
1,427,154
1,428,177
1,434,181
1,435,162
1,453,234
1,454,183
1,469,201
1,472,192
1,476,363
1,479,170
1,481,286
1,483,156
1,509,268
1,512,183
1,515,413
1,518,191
1,540,228
1,541,168
1,550,155
1,565,210
1,567,178
1,570,189
1,580,409
1,583,236
1,590,272
1,604,232
1,609,203
1,614,200
1,619,246
1,632,309
1,638,161
1,647,272
1,656,244
1,664,192
1,665,207
1,667,161
1,678,388
1,737,163
1,740,302
1,745,150
1,748,208
1,749,208
1,752,246
1,754,253
1,755,349
1,758,202
1,763,521
1,771,220
1,777,499
1,785,161
1,799,158
1,837,213
1,839,213
1,855,229
1,860,212
1,861,243
1,877,328
2,3,953
2,4,939
2,33,179
2,50,269
2,51,183
2,62,837
2,83,160
2,89,214
2,91,161
2,100,233
2,128,214
2,131,200
2,132,796
2,133,406
2,137,233
2,138,206
2,142,419
2,144,234
2,145,422
2,146,298
2,147,302
2,148,432
2,149,340
2,150,755
2,151,155
2,152,404
2,171,167
2,172,415
2,173,155
2,175,198
2,176,196
2,177,289
2,178,507
2,190,258
2,191,164
2,193,170
2,195,314
2,196,205
2,199,178
2,201,196
2,217,456
2,235,743
2,236,199
2,237,209
2,240,239
2,241,512
2,242,163
2,243,445
2,249,238
2,263,303
2,265,166
2,266,277
2,267,502
2,270,484
2,271,212
2,273,150
2,274,231
2,280,212
2,282,167
2,286,186
2,300,411
2,305,688
2,306,292
2,312,218
2,315,163
2,326,192
2,327,169
2,328,249
2,338,179
2,342,301
2,346,229
2,347,313
2,357,206
2,360,713
2,362,196
2,367,506
2,378,331
2,379,370
2,380,195
2,381,374
2,383,270
2,388,168
2,402,375
2,413,154
2,414,181
2,415,162
2,419,323
2,426,256
2,427,183
2,453,313
2,454,405
2,479,285
2,481,472
2,483,347
2,486,347
2,487,161
2,501,175
2,503,199
2,505,169
2,513,165
2,515,436
2,516,238
2,518,157
2,531,229
2,540,266
2,562,363
2,566,210
2,567,178
2,570,186
2,580,282
2,583,422
2,594,752
2,596,222
2,604,392
2,609,151
2,619,190
2,632,661
2,664,151
2,667,443
2,682,226
2,703,215
2,716,179
2,727,255
2,737,376
2,740,208
2,745,184
2,752,210
2,757,166
2,766,160
2,771,752
2,782,159
2,789,173
2,798,333
2,804,246
2,815,511
2,840,250
2,843,324
2,855,194
2,860,179
2,952,150
3,4,940
3,14,156
3,33,168
3,50,220
3,89,174
3,91,255
3,93,183
3,94,160
3,117,150
3,119,340
3,130,659
3,132,673
3,133,207
3,136,305
3,137,164
3,138,198
3,139,221
3,140,253
3,141,165
3,144,590
3,145,424
3,146,479
3,147,338
3,148,270
3,149,337
3,150,223
3,151,153
3,152,390
3,153,271
3,154,442
3,155,192
3,156,186
3,158,182
3,159,205
3,160,168
3,161,182
3,162,168
3,163,264
3,164,166
3,165,153
3,166,179
3,167,216
3,171,306
3,172,244
3,175,154
3,178,184
3,181,180
3,182,202
3,190,321
3,217,228
3,221,163
3,235,185
3,238,172
3,239,208
3,240,388
3,243,179
3,249,190
3,250,152
3,263,440
3,264,231
3,265,230
3,266,411
3,267,649
3,269,159
3,270,158
3,272,234
3,274,282
3,280,416
