uniprot_id,string_id,id
P22888,9606.ENSP00000294954,0
P30968,9606.ENSP00000226413,1
P30518,9606.ENSP00000496396,2
P37288,9606.ENSP00000299178,3
P47901,9606.ENSP00000356094,4
P49069,9606.ENSP00000297156,5
P62937,9606.ENSP00000419425,6
P30405,9606.ENSP00000225174,7
Q99707,9606.ENSP00000355536,8
P22033,9606.ENSP00000274813,9
Q9UBK8,9606.ENSP00000402510,10
Q8IVH4,9606.ENSP00000497008,11
Q9Y4U1,9606.ENSP00000383840,12
P42898,9606.ENSP00000365770,13
P22303,9606.ENSP00000303211,14
P49585,9606.ENSP00000292823,15
O14939,9606.ENSP00000263088,16
P06276,9606.ENSP00000264381,17
Q13393,9606.ENSP00000342793,18
Q8TCT1,9606.ENSP00000406909,19
P36544,9606.ENSP00000407546,20
P35228,9606.ENSP00000327251,21
O43246,9606.ENSP00000372390,22
Q8WY07,9606.ENSP00000363417,23
P30825,9606.ENSP00000370128,24
P29474,9606.ENSP00000297494,25
Q96A70,9606.ENSP00000362540,26
P04424,9606.ENSP00000307188,27
P00966,9606.ENSP00000361471,28
P78540,9606.ENSP00000261783,29
O00469,9606.ENSP00000282903,30
O14832,9606.ENSP00000263038,31
O60568,9606.ENSP00000223127,32
P09172,9606.ENSP00000376776,33
P19021,9606.ENSP00000306100,34
Q8IVL5,9606.ENSP00000316881,35
Q8IVL6,9606.ENSP00000478600,36
Q8N543,9606.ENSP00000457258,37
Q96Q83,9606.ENSP00000302232,38
Q9BY66,9606.ENSP00000322408,39
Q02809,9606.ENSP00000196061,40
Q9NXG6,9606.ENSP00000341422,41
Q9GZT9,9606.ENSP00000355601,42
Q96KS0,9606.ENSP00000469686,43
Q9H6Z9,9606.ENSP00000250457,44
Q9Y478,9606.ENSP00000441369,45
Q9NR19,9606.ENSP00000253382,46
Q07343,9606.ENSP00000342637,47
P33121,9606.ENSP00000422607,48
Q13131,9606.ENSP00000346148,49
P16220,9606.ENSP00000387699,50
Q08499,9606.ENSP00000345502,51
P49773,9606.ENSP00000304229,52
P09467,9606.ENSP00000408025,53
P55263,9606.ENSP00000443965,54
P54646,9606.ENSP00000360290,55
