Name,Disease,Description
"Nephritis, Hereditary",D009394,"
The response should be approximately 500 words in length and formatted according to the journal guidelines.
The final text must be checked to ensure that no information is missing and that it is consistent and accurate.
You should include a reference list of no more than 10 relevant references, in a bibliographic style appropriate to your discipline, at the end of your summary.
Your full answer will be assessed and awarded a score for:
1. The degree to which the response provides a comprehensive and accurate summary of the literature for the disease.
2. The degree to which the response provides a comprehensive and accurate summary of the literature for the disease.
3. The degree to which the response provides a comprehensive and accurate summary of the literature for the disease.
4. The degree to which the response provides a comprehensive and accurate summary of the literature for the disease.
5. The degree to which the response provides a comprehensive and accurate summary of the literature for the disease.
The information does not need to be current or from a live database. Ensure the final summary is precise, evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative.
The response should be approximately 500 words"
Hypertension,D006973," The response should be at least 150 words in total. If you have any questions or concerns regarding the instructions, please contact the course coordinator.
Hypertension, or high blood pressure, is a common disease in which blood vessels have persistently elevated pressure. Hypertension is a major cause of cardiovascular disease, stroke, and chronic kidney disease .
Hypertension is a complex disease that involves multiple genetic and environmental factors. The genetic components of hypertension are well studied, and several genes, proteins, and mutations have been associated with the disease. One of the most well-known genes involved in hypertension is the angiotensin-converting enzyme (ACE) gene, which codes for an enzyme that regulates blood pressure by converting angiotensin I to angiotensin II . Mutations in the ACE gene can lead to hypertension by disrupting the normal regulation of blood pressure. Another gene involved in hypertension is the renin gene, which codes for an enzyme that regulates blood pressure by converting angiotensinogen to angiotensin I . Mutations in the renin gene can lead to hypertension by disrupting the normal regulation of blood pressure"
Asthma,D001249,
"Dermatitis, Atopic",D003876," The final paragraph should be no more than 350 words.
You may find the following resources useful to prepare your response:
• ClinicalTrials.gov: https://clinicaltrials.gov/
• ClinicalTrials.gov.au: https://www.clinicaltrials.gov.au/
• PubMed: https://pubmed.ncbi.nlm.nih.gov/
• Google Scholar: https://scholar.google.com.au/
• OMIM: https://www.omim.org/
• Medline: https://www.ncbi.nlm.nih.gov/pubmed/
• Cochrane Library: https://www.cochranelibrary.com/
• Cochrane Database of Systematic Reviews: https://www.cochranelibrary.com/about/cochrane-database-systematic-reviews
• Cochrane CENTRAL: https://www.cochranelibrary.com/about/cochrane-central-register-controlled-trials
• Cochrane Methodology Register: https://www.cochranelibrary.com/about/cochrane-methodology"
Breast Neoplasms,D001943,"
The response should be in a single paragraph of approximately 200 words. Any references should be included in the body of the response, not in the submission.
Please respond to the following questions with a few sentences for each. Please do not copy and paste from the internet.
1) How are breast cancers classified?
2) What are the main causes of breast cancer?
3) What are the main risk factors of breast cancer?
4) What is the incidence of breast cancer?
5) What is the mortality of breast cancer?
6) What are the early symptoms of breast cancer?
7) What is the prognosis of breast cancer?
8) What are the current treatments for breast cancer?
9) What are the current diagnostic methods for breast cancer?"
Brain Neoplasms,D001932,"
The response must be in the format of a single, cohesive paragraph (not a list) and should not exceed 500 words. The response must include the OMIM ID 'D001932'.
The final response will be assessed against the following criteria:
1) All 10 key points (from above) are covered, with at least 3 examples for each point.
2) The information is clear, precise, and accurate.
3) The information is evidence-based and up to date.
4) The response is succinct and not overly verbose.
The total word count is 500, and the total mark available is 20.
Assessment 2: Short answer questions (10 marks)
Short answer questions assess your understanding of the clinical presentation, diagnosis, and management of brain neoplasms.
There are 3 questions in total, with each question worth 3 marks. The response must be in the format of a single, cohesive paragraph and should not exceed 300 words.
The response must be in the format of a single, cohesive paragraph (not a list) and should not exceed 300 words.
The final response will be assessed against"
Nasal Polyps,D009298,
Schizophrenia,D012559,"
Cite any sources you use, including your own knowledge.
It is advisable to use the full names of all genes, proteins, and other components.
Example: Disease: Cystic Fibrosis
The following information can be generated:
Cystic fibrosis (CF) is an autosomal recessive disease caused by mutations in the CFTR gene. CFTR mutations lead to abnormal chloride ion transport and increased secretion of thick, sticky mucus into the airways, resulting in respiratory infections and inflammation. The disease typically manifests as a progressive lung disease and pancreatic insufficiency, but can also affect other organs such as the liver, intestines, and reproductive system. The most common CFTR mutations are F508del and G542X. There are over 2000 known CFTR mutations, with new mutations constantly being discovered. CFTR mutations can be classified as responsive or nonresponsive to treatment with CFTR modulators, which can help to improve chloride transport and reduce symptoms. Cystic fibrosis is an inherited disease that affects the lungs and digest"
Osteoarthritis,D010003, 
"Rhinitis, Allergic",D065631,"
A) 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989, 1988, 1987, 1986, 1985, 1984, 1983, 1982, 1981, 1980, 1979, 1978, 1977, 1"
"Leukemia, Lymphocytic, Chronic, B-Cell",D015451,"
The following is a suggested outline for the summary:
1) Introduction: briefly describe the disease (e.g., Leukemia, Lymphocytic, Chronic, B-Cell) and mention its OMIM ID (D015451).
2) Genetic basis: provide 2-3 examples of genes, proteins, or mutations associated with the disease.
3) Signal pathway: describe the associated signal pathway, including key molecular or cellular components.
4) Drugs and treatment: describe 2-3 commonly used drugs for the treatment of the disease, along with their mechanisms of action.
5) Comorbidities and complications: mention any linked comorbidities and complications associated with the disease.
6) Nature of the disease: describe the nature of the disease, including the type and progression of the disease.
7) Clinical symptoms and signs: describe the typical clinical symptoms and signs associated with the disease.
8) Types of the disease: mention the types of the disease, including the classification and subtypes.
9) Inheritance and genetic component: mention any known genetic component of the"
Psoriasis,D011565," Avoid abbreviations, jargon, and references to external sources.
Psoriasis is a common chronic inflammatory disease of the skin and joints, with a complex etiology and a genetic component. The disease is characterized by skin plaques with well-defined borders and various sizes. In the psoriatic plaque, the epidermis is hyperplastic with a thickened stratum corneum and parakeratosis. The dermis is infiltrated by lymphocytes, plasma cells, and dendritic cells. The typical clinical symptoms of psoriasis are erythematous scaly plaques and pustules, which may affect the scalp, elbows, knees, and buttocks. The disease can be classified as psoriasis vulgaris, guttate psoriasis, erythrodermic psoriasis, pustular psoriasis, inverse psoriasis, and nail psoriasis. Psoriasis vulgaris is the most common form of psoriasis, affecting 85-90% of patients. Psoriasis vulgaris is typically inherited in an autosomal dominant"
