Drug,Disease
571,0
748,0
1471,0
1239,1
903,2
904,2
1447,2
50,3
85,3
88,3
295,3
364,3
380,3
395,3
423,3
439,3
450,3
453,3
473,3
486,3
584,3
599,3
614,3
646,3
769,3
859,3
864,3
940,3
1232,3
1305,3
1321,3
1422,3
1452,3
1459,3
1473,3
1484,3
1495,3
1518,3
1579,3
1596,3
4,4
328,4
776,4
1113,4
1113,5
88,6
334,6
351,6
395,6
453,6
646,6
671,6
940,6
1495,6
671,7
225,8
353,8
365,8
401,8
439,8
528,8
600,8
803,8
859,8
1616,8
653,9
712,9
1392,9
225,10
353,10
439,10
528,10
600,10
859,10
1460,11
249,12
504,12
514,12
414,13
1045,13
152,14
498,15
528,16
177,17
323,17
391,17
625,17
1147,17
1323,17
1550,17
364,18
1509,18
1622,18
328,19
371,19
20,20
1028,20
1349,20
438,21
1436,21
386,22
519,23
1672,23
1064,24
628,25
376,26
1337,26
79,27
95,27
141,27
147,27
176,27
313,27
354,27
382,27
430,27
548,27
648,27
690,27
717,27
779,27
861,27
896,27
977,27
1228,27
1254,27
1270,27
1271,27
1547,27
147,28
176,28
382,28
690,28
717,28
997,29
203,30
225,30
353,30
365,30
439,30
528,30
561,30
600,30
803,30
812,30
859,30
1615,30
1616,30
88,31
289,31
334,31
351,31
395,31
453,31
646,31
671,31
675,31
733,31
751,31
940,31
1278,31
1495,31
88,32
671,32
940,32
38,33
169,33
192,33
249,33
359,33
397,33
488,33
504,33
506,33
514,33
520,33
738,33
761,33
888,33
896,33
898,33
1243,33
1467,33
1528,33
1195,34
462,35
127,36
910,36
29,37
66,37
369,37
690,37
703,37
706,37
51,38
125,38
358,38
476,38
591,38
1134,38
1586,38
219,39
225,39
342,39
353,39
365,39
439,39
528,39
600,39
657,39
803,39
859,39
1615,39
1616,39
307,40
1639,40
3,41
6,41
80,41
135,41
225,41
240,41
253,41
263,41
286,41
300,41
307,41
314,41
326,41
342,41
344,41
353,41
365,41
439,41
445,41
476,41
482,41
496,41
527,41
