Drug,Protein
0,2797
0,648
0,3405
1,13483
2,210
2,435
2,8220
2,3235
2,3705
2,7114
2,13061
2,6769
2,5085
2,6883
2,7170
3,8228
3,12493
3,13158
3,2386
3,9875
3,13110
3,13177
3,7045
3,10568
3,3145
3,13304
3,3762
3,875
3,11926
3,3272
3,3594
3,408
3,12687
3,7666
3,2186
3,10022
3,13091
3,11426
3,6016
3,7762
3,1709
3,13048
3,13233
3,13234
3,557
3,5753
3,11959
3,10490
3,41
3,6395
3,7244
3,11605
3,6310
3,13523
3,2731
3,11691
3,3910
3,8223
3,642
3,106
3,3546
3,653
3,771
3,10732
3,4952
3,6481
3,9770
3,13275
3,4533
3,9771
3,399
3,8453
3,9776
3,10291
3,9608
3,9706
3,3796
3,5689
3,11775
3,2820
3,11198
3,11210
3,3756
3,3998
3,591
3,9486
3,842
3,13183
3,7170
3,12352
3,10150
3,4304
3,1503
3,1734
3,10422
3,12843
3,10561
3,4510
3,8058
3,9621
3,3399
3,2315
3,687
4,12493
4,13110
4,3473
4,13234
4,592
4,6553
5,648
5,4609
6,3965
6,2208
6,11809
6,5729
6,4864
6,2381
6,9981
6,10043
6,10820
6,3333
6,8709
6,10805
6,6064
6,2022
7,5023
7,5134
7,8898
7,11
7,8170
7,9102
7,5990
8,5023
8,1824
8,4203
8,7905
8,8056
8,5233
8,3623
8,8898
8,8170
8,9102
9,10568
9,10547
9,3900
9,4437
9,2281
9,2034
9,1551
9,8420
9,7629
9,6732
9,9646
9,9318
9,67
9,11959
9,6217
9,7041
9,12332
9,1229
9,9360
9,1351
9,2988
9,3946
9,1169
9,4997
9,1902
9,9706
9,12124
9,701
9,867
9,4726
9,12507
9,2081
9,5983
9,4125
9,2014
9,9918
9,169
9,2998
9,564
9,3896
9,3940
9,8728
9,11861
9,5661
9,11627
9,6305
9,14129
10,9970
10,5525
10,7020
10,9431
10,2019
10,8745
10,10606
10,7905
10,13343
10,13344
10,2252
10,13239
10,404
10,2170
10,13130
10,7644
10,1074
10,7792
10,5494
10,12449
10,3338
10,1746
10,9884
10,9782
10,11622
10,1917
10,12508
10,10257
10,10607
11,9431
11,2252
11,13144
11,2277
11,2142
11,1360
11,4748
11,4391
11,4253
11,11227
11,10583
11,5191
11,4573
11,2179
11,4233
11,217
11,7001
11,8978
11,3493
11,440
11,195
11,10296
12,11328
12,1349
12,3609
12,11864
12,11509
12,8631
12,10236
12,10833
12,4021
12,6060
12,6216
12,6265
12,7749
12,11787
12,1373
12,5062
12,3167
12,10511
12,312
13,5023
13,3922
13,9801
13,7558
13,1529
13,1953
13,320
13,5858
14,8220
14,11911
14,13375
14,339
14,13234
14,1317
14,745
14,3027
14,653
14,12522
14,8735
14,7946
14,450
14,687
15,1296
15,6016
16,4630
16,8745
16,170
16,867
16,4726
16,12507
16,2081
16,10039
16,564
16,2285
16,7245
16,11201
16,6979
16,486
17,2063
17,11181
17,129
17,5933
17,8453
17,8473
17,14030
18,5023
18,3922
18,768
18,9505
18,13105
18,2703
18,13343
18,13344
18,1638
18,6016
18,7762
18,1709
18,13048
18,13234
18,209
18,9156
18,9671
18,9001
18,4845
18,8967
18,10915
18,378
18,2722
18,2213
18,5898
18,3764
18,3144
18,7951
18,6098
18,5494
18,12449
18,3338
18,846
18,13032
18,4761
18,4817
18,5566
18,2445
19,339
19,686
19,687
20,8868
20,1522
20,9801
20,1232
20,2462
20,7701
20,9577
20,13131
20,7605
20,7644
20,1074
20,13032
20,3895
20,8141
20,687
21,54
21,9058
21,7847
21,5658
21,9706
21,3174
21,6756
21,3964
22,8220
22,12881
22,7765
22,2432
22,3179
22,7185
22,8417
22,6679
22,5600
22,10041
22,6985
22,6489
22,11147
22,11188
22,9094
22,9430
22,4873
22,3818
22,11731
22,631
22,3769
22,17
22,1877
22,11684
22,1314
22,9207
22,2603
22,2499
22,339
22,1584
22,686
22,5622
22,9577
22,9706
22,6702
22,687
23,12493
23,13177
23,9586
23,11509
23,875
23,3743
23,12549
23,10490
23,9373
23,3653
23,12637
23,1677
23,129
23,8822
23,4533
23,13138
23,8453
23,7029
23,10685
23,12522
23,4304
23,12613
23,8128
23,10561
23,4673
23,14116
23,8741
24,3638
24,1206
24,5480
24,6192
24,8220
24,3341
24,7
24,4155
24,585
24,12598
24,5177
24,10758
24,2988
24,465
24,1885
24,12071
24,5736
24,9706
24,12731
24,7946
24,7804
24,12170
24,1370
24,12199
24,8970
24,11966
24,10345
24,8955
24,1549
24,13216
24,3466
24,12352
24,6736
24,7621
24,6409
24,450
24,7001
24,1691
24,2134
24,9621
24,687
25,12493
25,8181
25,1296
25,5710
25,6732
25,13234
25,9412
25,2571
25,13131
25,2797
25,465
25,11245
25,6847
25,7522
25,9832
25,279
25,10822
25,4609
25,5012
25,4858
25,5689
25,11090
25,11159
25,467
25,10843
25,13047
25,11594
25,15
25,12513
25,257
25,1451
25,2593
25,498
25,8946
26,8237
26,9511
26,10718
26,3288
26,265
27,3360
27,8220
27,2499
27,9511
27,1584
27,7755
27,7738
27,5622
27,13234
27,9577
27,10758
27,13192
27,11605
27,745
27,5940
27,9706
27,5220
27,687
28,8228
28,12493
28,13158
28,9875
28,13110
28,12991
28,210
28,12981
28,1735
28,6958
28,7900
28,11433
28,11328
28,4729
28,1349
28,10753
28,11834
28,9143
28,3609
28,11864
28,2545
28,12026
28,9150
28,1546
28,11952
28,3235
28,9431
28,7905
28,10796
28,7
28,354
28,8373
28,12270
28,4504
28,4752
28,6678
28,5862
28,5063
