ID,GeneName,GeneID,UniProtID,STRING_ID
0,ARF5,381,,9606.ENSP00000000233
1,M6PR,4074,,9606.ENSP00000000412
2,FKBP4,2288,,9606.ENSP00000001008
3,CYP26B1,56603,,9606.ENSP00000001146
4,FUCA2,2519,,9606.ENSP00000002165
5,HS3ST1,9957,,9606.ENSP00000002596
6,SEMA3F,6405,,9606.ENSP00000002829
7,CFTR,1080,P13569,9606.ENSP00000003084
8,CYP51A1,1595,Q16850,9606.ENSP00000003100
9,USP28,57646,,9606.ENSP00000003302
10,CAT-2,173411,,9606.ENSP00000004531
11,SLC7A2,6542,P52569,9606.ENSP00000004531
12,HSPB6,126393,,9606.ENSP00000004982
13,PDK4,5166,Q16654,9606.ENSP00000005178
14,USH1C,10083,,9606.ENSP00000005226
15,RALA,5898,,9606.ENSP00000005257
16,BAIAP2L1,55971,,9606.ENSP00000005260
17,CACNG3,10368,O60359,9606.ENSP00000005284
18,GBP,,Q8I6U8,9606.ENSP00000005286
19,TMEM132A,54972,,9606.ENSP00000005286
20,DVL2,1856,,9606.ENSP00000005340
21,SKAP2,8935,,9606.ENSP00000005587
22,PRSS21,10942,,9606.ENSP00000005995
23,HOXA11,3207,,9606.ENSP00000006015
24,CX3CL1,6376,,9606.ENSP00000006053
25,CEACAM7,1087,,9606.ENSP00000006724
26,RHBDD2,57414,,9606.ENSP00000006777
27,TFAP2D,83741,,9606.ENSP00000008391
28,CRY1,1407,,9606.ENSP00000008527
29,PGLYRP1,8993,,9606.ENSP00000008938
30,CAMK1G,57172,Q96NX5,9606.ENSP00000009105
31,CD74,972,,9606.ENSP00000009530
32,CPA1,1357,,9606.ENSP00000011292
33,SYPL1,6856,,9606.ENSP00000011473
34,RANBP9,10048,,9606.ENSP00000011619
35,CD4,920,,9606.ENSP00000011653
36,TSPAN9,10867,,9606.ENSP00000011898
37,QPCTL,54814,,9606.ENSP00000012049
38,PPP5C,5536,P53041,9606.ENSP00000012443
39,MAP4K5,11183,Q9Y4K4,9606.ENSP00000013125
40,INMT,11185,,9606.ENSP00000013222
41,ERCC1,2067,,9606.ENSP00000013807
42,GPRC5A,9052,Q8NFJ5,9606.ENSP00000014914
43,HEBP1,50865,,9606.ENSP00000014930
44,COX15,1355,,9606.ENSP00000016171
45,MS4A12,54860,,9606.ENSP00000016913
46,XYLT2,64132,,9606.ENSP00000017003
47,SCTR,6344,,9606.ENSP00000019103
48,SYT13,57586,,9606.ENSP00000020926
49,SNAI2,6591,,9606.ENSP00000020945
50,SLC7A9,11136,,9606.ENSP00000023064
51,RB1CC1,9821,,9606.ENSP00000025008
52,AKAP11,11215,,9606.ENSP00000025301
53,PIGQ,9091,,9606.ENSP00000026218
54,CDH17,1015,,9606.ENSP00000027335
55,B4GALT7,11285,,9606.ENSP00000029410
56,GABARAPL2,11345,,9606.ENSP00000037243
57,MYOC,4653,,9606.ENSP00000037502
58,OTC,5009,,9606.ENSP00000039007
59,HOXC8,3224,,9606.ENSP00000040584
60,TARBP1,6894,,9606.ENSP00000040877
61,TRM3,,F5HCU8,9606.ENSP00000040877
62,RTN4R,65078,,9606.ENSP00000043402
63,PSMA4,5685,,9606.ENSP00000044462
64,FAM65C,428169,,9606.ENSP00000045083
65,RIPOR3,140876,,9606.ENSP00000045083
66,LCP2,3937,,9606.ENSP00000046794
67,DCN,1634,,9606.ENSP00000052754
68,TNFRSF17,608,,9606.ENSP00000053243
69,GUCA1A,2978,,9606.ENSP00000053469
70,GRN,2896,,9606.ENSP00000053867
71,VAMP3,9341,,9606.ENSP00000054666
72,UTS2,10911,,9606.ENSP00000054668
73,RCN1,5954,,9606.ENSP00000054950
74,RFC2,5982,,9606.ENSP00000055077
75,NEXMIF,340533,,9606.ENSP00000055682
76,ARHGEF5,7984,,9606.ENSP00000056217
77,NFE2L3,9603,,9606.ENSP00000056233
78,TLL1,7092,,9606.ENSP00000061240
79,CBLN4,140689,,9606.ENSP00000064571
80,CLDN11,5010,,9606.ENSP00000064724
81,FAM168A,23201,,9606.ENSP00000064778
82,PKP2,5318,,9606.ENSP00000070846
83,INPP4A,3631,,9606.ENSP00000074304
84,SLC2A3,6515,,9606.ENSP00000075120
85,STYK1,55359,,9606.ENSP00000075503
86,GNA11,2767,,9606.ENSP00000078429
87,CREB3L3,84699,,9606.ENSP00000078445
88,HDAC7,51564,Q8WUI4,9606.ENSP00000080059
89,APPBP2,10513,,9606.ENSP00000083182
90,CA11,770,O75493,9606.ENSP00000084798
91,ISOC2,79763,,9606.ENSP00000085068
92,CD22,933,,9606.ENSP00000085219
93,GSC2,,P40989,9606.ENSP00000086933
94,KCNQ1,3784,P51787,9606.ENSP00000155840
95,TRPM5,29850,,9606.ENSP00000155858
96,TRIB2,28951,,9606.ENSP00000155926
97,OTUD5,55593,,9606.ENSP00000156084
98,GPKOW,27238,,9606.ENSP00000156109
99,ST6GALNAC1,55808,,9606.ENSP00000156626
100,LMCD1,29995,,9606.ENSP00000157600
101,PSMC4,,,9606.ENSP00000157812
102,DERL2,51009,,9606.ENSP00000158771
103,NOX3,50508,,9606.ENSP00000159060
104,ANO8,57719,,9606.ENSP00000159087
105,KDM4B,23030,,9606.ENSP00000159111
106,ICAM3,3385,,9606.ENSP00000160262
107,CTTNBP2,83992,,9606.ENSP00000160373
108,ACTL6B,51412,,9606.ENSP00000160382
109,KIF22,3835,,9606.ENSP00000160827
110,PRSS22,64063,,9606.ENSP00000161006
111,CEACAM1,634,,9606.ENSP00000161559
112,YTHDC2,64848,,9606.ENSP00000161863
113,FOXJ2,55810,,9606.ENSP00000162391
114,TNFRSF1A,7132,,9606.ENSP00000162749
115,GOLGA5,9950,,9606.ENSP00000163416
116,CELSR3,1951,,9606.ENSP00000164024
117,PPP2R5B,5526,,9606.ENSP00000164133
118,PYGM,5837,,9606.ENSP00000164139
119,BCL3,602,,9606.ENSP00000164227
120,PIGB,,,9606.ENSP00000164305
121,PRLH,51052,,9606.ENSP00000165524
122,FSTL3,10272,,9606.ENSP00000166139
123,EPHA8,2046,P29322,9606.ENSP00000166244
124,TRIP13,9319,,9606.ENSP00000166345
125,VASH1,22846,,9606.ENSP00000167106
126,KRT14,3861,P02533,9606.ENSP00000167586
127,KRT20,54474,,9606.ENSP00000167588
128,SPP2,6694,,9606.ENSP00000168148
