ID,Disease,Name
0,C0000810,"Abortion, Incomplete"
1,C0001126,"Acidosis, Renal Tubular"
2,C0001139,Acinetobacter infectious disease
3,C0001144,Acne Vulgaris
4,C0001206,Acromegaly
5,C0001207,Hypersomatotropic gigantism
6,C0001261,Actinomycosis
7,C0001264,"Actinomycosis, Cervicofacial"
8,C0001403,Addison Disease
9,C0001622,Adrenocortical Hyperfunction
10,C0001627,"Adrenal Hyperplasia, Congenital"
11,C0001815,Primary Myelofibrosis
12,C0001957,Alcohol Withdrawal Delirium
13,C0001973,Alcoholism
14,C0002170,Alopecia
15,C0002351,Altitude Sickness
16,C0002390,"Alveolitis, Extrinsic Allergic"
17,C0002395,Alzheimer Disease
18,C0002438,Amebiasis
19,C0002453,Amenorrhea
20,C0002726,Amyloidosis
21,C0002736,Amyotrophic Lateral Sclerosis
22,C0002792,anaphylaxis
23,C0002831,Ancylostomiasis
24,C0002874,"Anemia, Aplastic"
25,C0002880,"Anemia, Hemolytic, Autoimmune"
26,C0002888,"Anemia, Megaloblastic"
27,C0002962,Angina Pectoris
28,C0002963,"Angina Pectoris, Variant"
29,C0002986,Fabry Disease
30,C0002994,Angioedema
31,C0003175,Anthrax
32,C0003177,Cutaneous anthrax
33,C0003467,Anxiety
34,C0003469,Anxiety Disorders
35,C0003492,Aortic Coarctation
36,C0003615,Appendicitis
37,C0003850,Arteriosclerosis
38,C0003862,Arthralgia
39,C0003868,"Arthritis, Gouty"
40,C0003872,"Arthritis, Psoriatic"
41,C0003873,"Arthritis, Rheumatoid"
42,C0003950,Ascariasis
43,C0003969,Ascorbic Acid Deficiency
44,C0004030,Aspergillosis
45,C0004096,Asthma
46,C0004238,Atrial Fibrillation
47,C0004239,Atrial Flutter
48,C0004352,Autistic Disorder
49,C0004364,Autoimmune Diseases
50,C0004604,Back Pain
51,C0004626,"Pneumonia, Bacterial"
52,C0004771,Bartonella Infections
53,C0004943,Behcet Syndrome
54,C0004945,Bejel
55,C0005138,C0004945
56,C0005283,beta Thalassemia
57,C0005424,Disease or Syndrome
58,C0005586,Bipolar Disorder
59,C0005587,"Depression, Bipolar"
