ID,Disease,Name,MeSH_ID,Description
0,C0000810,"Abortion, Incomplete",D000027,"Incomplete abortion is a form of early pregnancy loss in which partial expulsion of products of conception occurs while retained intrauterine tissue persists, producing persistent uterine bleeding, crampy lower abdominal pain, an open cervical os, and often passage of tissue; subtypes are commonly described as spontaneous versus induced/unsafe, septic versus nonseptic, and first- versus second-trimester presentations. Its biology is usually multifactorial rather than monogenic, with many cases reflecting embryonic chromosomal abnormalities such as aneuploidy from meiotic nondisjunction, while recurrent miscarriage susceptibility has been linked in some patients to thrombophilia and placentation-related genes or variants including F5 Leiden, F2 G20210A, MTHFR, and occasionally immune or endocrine contributors; relevant molecular pathways include progesterone-receptor signaling required for decidual maintenance, prostaglandin EP receptor–calcium signaling and oxytocin-mediated myometrial contraction, matrix metalloproteinase-driven cervical remodeling, trophoblast invasion and angiogenic pathways involving VEGF, placental hCG signaling, and inflammatory cytokines such as TNF, IL-1, and IL-6, especially in septic cases. Management centers on uterine evacuation and hemorrhage control: misoprostol, a PGE1 analog, stimulates cervical ripening and uterine contractions; mifepristone, a progesterone-receptor antagonist, enhances decidual breakdown and sensitizes the uterus to prostaglandins; oxytocin, an oxytocin-receptor agonist, promotes myometrial contraction; and when infection is suspected, broad-spectrum antibiotics such as doxycycline, metronidazole, and gentamicin are used via inhibition of bacterial protein synthesis or anaerobic DNA damage pathways. Major complications and comorbidities include acute hemorrhage, anemia, endometritis/sepsis, retained products, disseminated intravascular coagulation, infertility from intrauterine adhesions, and coexistence with ectopic pregnancy or gestational trophoblastic disease. Diagnosis relies on history and pelvic examination, transvaginal ultrasonography showing retained products and nonviable pregnancy, serial quantitative beta-hCG trends, CBC and blood type/Rh testing with Rh immunoglobulin when indicated, and pathologic evaluation of evacuated tissue when diagnosis is uncertain."
1,C0001126,"Acidosis, Renal Tubular",D000141,"Renal tubular acidosis is a group of disorders characterized by normal anion gap, hyperchloremic metabolic acidosis caused by impaired renal tubular acid secretion, bicarbonate reclamation, or both, in the absence of major reduction in glomerular filtration. Major subtypes include distal RTA (type 1), proximal RTA (type 2), hyperkalemic RTA (type 4), and mixed forms such as carbonic anhydrase II deficiency. Distal RTA is linked to defects in acid-secretory machinery, including SLC4A1 encoding AE1, ATP6V1B1 and ATP6V0A4 encoding vacuolar H+-ATPase subunits, and FOXI1; proximal RTA involves impaired bicarbonate transport via SLC4A4 or generalized Fanconi syndrome, while inherited type 4 RTA may involve aldosterone pathway genes such as NR3C2, SCNN1A, SCNN1B, and SCNN1G, or WNK1/WNK4 signaling affecting distal sodium handling and potassium-proton secretion. Key pathophysiology centers on intercalated-cell proton transport, carbonic anhydrase activity, bicarbonate transport, epithelial sodium channel function, and the renin-angiotensin-aldosterone axis. Inheritance may be autosomal dominant, as with some SLC4A1-related disease, or autosomal recessive, as with ATP6V1B1, ATP6V0A4, CA2, and SLC4A4 mutations; acquired forms occur with autoimmune disease, especially Sjögren syndrome, drugs, obstructive uropathy, and diabetic hypoaldosteronism. Clinical features include fatigue, polyuria, dehydration, growth failure, rickets or osteomalacia, muscle weakness, hypokalemia in types 1 and 2 or hyperkalemia in type 4, nephrolithiasis and nephrocalcinosis particularly in distal RTA, and sensorineural hearing loss in some proton pump defects. Diagnosis relies on persistent metabolic acidosis with inappropriately high urine pH in distal RTA, low serum bicarbonate, electrolyte patterns, urine anion gap, acid-loading or bicarbonate-infusion tests, assessment for Fanconi syndrome or aldosterone deficiency, renal imaging, and genetic testing in suspected inherited cases. Treatment commonly uses sodium bicarbonate or potassium citrate to replace alkali and raise systemic bicarbonate"
2,C0001139,Acinetobacter infectious disease,D000151,"Acinetobacter infections, most often caused by the opportunistic Gram-negative coccobacillus Acinetobacter baumannii, are typically healthcare-associated syndromes that include ventilator-associated pneumonia, bloodstream infection, wound and burn infection, urinary tract infection, and meningitis, with presentations ranging from fever, purulent secretions, leukocytosis, hypoxemia, dysuria, cellulitis, or sepsis to septic shock and multiorgan failure. Major virulence and resistance determinants include outer membrane protein A (OmpA), phospholipases, the biofilm-associated protein Bap, capsular polysaccharide loci, the AdeABC, AdeIJK, and AdeFGH efflux systems, porins such as CarO, penicillin-binding proteins, and acquired resistance genes or mutations such as blaOXA-23, blaOXA-24/40, blaOXA-58, blaNDM, blaVIM, ampC/ADC, armA, and pmrA/pmrB or lpxA/lpxC/lpxD alterations linked to colistin resistance. Relevant pathways include lipopolysaccharide and capsule biosynthesis, quorum sensing, biofilm formation, iron acquisition, two-component regulatory systems including BfmRS and PmrAB, envelope stress responses, and host innate immune signaling through TLR4-, NF-kB-, cytokine-, complement-, and neutrophil-mediated pathways. Treatment depends on susceptibility testing and often uses ampicillin-sulbactam, in which sulbactam directly inhibits Acinetobacter PBPs in addition to beta-lactamase inhibition, carbapenems such as meropenem that block cell-wall synthesis when active, polymyxins such as colistin that disrupt the outer membrane by binding lipopolysaccharide, tetracycline derivatives such as minocycline or tigecycline that inhibit the 30S ribosomal subunit, and cefiderocol, a siderophore cephalosporin exploiting iron transport to inhibit PBPs. Important comorbidities and risk factors include mechanical ventilation, prolonged ICU stay, trauma, burns, indwelling devices, recent broad-spectrum antibiotics, diabetes, chronic lung disease, renal failure, malignancy, and immunosuppression. The disorder is infectious rather than inherited, although host susceptibility may be modified by immune-related genetic variation; diagnosis requires compatible clinical syndrome plus culture from blood or site-specific specimens,"
3,C0001144,Acne Vulgaris,D000152,"Acne vulgaris (MeSH D000152) is a common chronic inflammatory disorder of the pilosebaceous unit driven by follicular hyperkeratinization, excess sebum production, Cutibacterium acnes colonization, and innate and adaptive immune activation, typically presenting with open and closed comedones, inflammatory papules, pustules, nodules, cysts, seborrhea, post-inflammatory hyperpigmentation, and scarring on the face, chest, and back. Major implicated pathways include androgen receptor signaling with increased sebaceous lipogenesis, IGF-1/insulin–PI3K-AKT-mTORC1 and FOXO1 dysregulation, abnormal keratinocyte differentiation, and inflammatory signaling through TLR2/TLR4, NF-kB, AP-1, NLRP3 inflammasome, IL-1beta, IL-8, IL-17, TNF-alpha, and matrix metalloproteinases. Genetic susceptibility is usually complex and polygenic rather than Mendelian, supported by familial clustering and variants affecting androgen metabolism and inflammation; representative examples include CYP17A1, CYP19A1, SRD5A1/2, AR, TNF, IL1A, IL6, TLR2, and IGF1, while severe syndromic acne may occur in autoinflammatory disorders with PSTPIP1 mutations, such as PAPA/PASH-related phenotypes. Clinical subtypes include comedonal, papulopustular, nodulocystic/conglobata, fulminans, and adult female acne. Diagnosis is primarily clinical based on lesion morphology, distribution, and severity grading; endocrine evaluation, serum total/free testosterone, DHEAS, LH/FSH, or pelvic ultrasound are reserved for hyperandrogenic features, and microbiologic testing is uncommon except in refractory or atypical cases. Common treatments include topical retinoids such as tretinoin or adapalene, which normalize desquamation and reduce comedogenesis; benzoyl peroxide, which is bactericidal via oxidative free radicals and limits antibiotic resistance; systemic or topical antibiotics such as doxycycline or clindamycin, which suppress C. acnes and inflammation; hormonal therapies including combined oral contraceptives and spironolactone, which reduce androgenic drive; and isotretinoin, which profoundly decreases sebaceous gland size, sebum output, comedogenesis, and inflammation"
4,C0001206,Acromegaly,D000172,"Acromegaly is a chronic endocrine disorder caused in most cases by a growth hormone (GH)-secreting pituitary somatotroph adenoma, leading to excess insulin-like growth factor 1 (IGF-1) and progressive somatic overgrowth; rarely it results from ectopic growth hormone-releasing hormone or GH secretion. Key molecular associations include dysregulation of the GHRH receptor–cAMP–PKA pathway, activating GNAS mutations in a subset of somatotroph adenomas, and inherited predisposition involving AIP mutations, MEN1, CDKN1B in MEN4, PRKAR1A in Carney complex, and Xq26.3 microduplication with GPR101 in X-linked acrogigantism; excess GH signals through the GH receptor, JAK2-STAT, MAPK, and PI3K-AKT pathways to stimulate hepatic and peripheral IGF-1 production. Clinically, patients develop enlarged hands and feet, coarse facial features, prognathism, interdental spacing, soft-tissue swelling, hyperhidrosis, arthralgia, carpal tunnel syndrome, headaches, visual field defects, fatigue, and frequently menstrual disturbance, hypogonadism, or erectile dysfunction. Major complications and comorbidities include hypertension, insulin resistance and diabetes mellitus, obstructive sleep apnea, cardiomyopathy, arrhythmias, colonic polyps, osteoarthritis, vertebral fractures, and increased mortality if uncontrolled. Disease subtypes include sporadic versus familial forms, microadenoma versus macroadenoma, densely versus sparsely granulated somatotroph tumors, and gigantism when GH excess occurs before epiphyseal closure. Diagnosis is based on elevated age-adjusted IGF-1 with failure of GH suppression during oral glucose tolerance testing, followed by pituitary MRI and assessment of visual fields and pituitary function; histopathology and somatostatin receptor profiling may further classify tumors. Treatment centers on transsphenoidal surgery and drugs such as octreotide or lanreotide, somatostatin receptor ligands that inhibit GH secretion, pegvisomant, a GH receptor antagonist that normalizes IGF-1, and cabergoline, a dopamine D2 agonist that suppresses GH in selected tumors."
5,C0001207,Hypersomatotropic gigantism,,"Hypersomatotropic gigantism is a rare endocrine overgrowth disorder caused by excess growth hormone (GH) secretion before epiphyseal closure, usually from a pituitary somatotroph adenoma or hyperplasia, leading to excessive linear growth and elevated insulin-like growth factor 1 (IGF-1). Genetic causes include germline AIP mutations in familial isolated pituitary adenoma, X-linked acrogigantism due to GPR101 microduplication, and syndromic associations such as MEN1, CDKN1B/MEN4, PRKAR1A in Carney complex, and mosaic GNAS activation in McCune-Albright syndrome; somatic GNAS mutations are also found in some GH-secreting adenomas. Pathobiology centers on hypothalamic GHRH-GHRH receptor signaling, pituitary GH synthesis and secretion, hepatic and peripheral JAK2-STAT5-mediated IGF-1 production, and downstream PI3K-AKT-mTOR and MAPK pathways promoting growth and soft-tissue proliferation. Patients typically present with accelerated height velocity, enlarged hands and feet, coarse facial features, prognathism, headaches, hyperhidrosis, visual field defects, delayed puberty or hypogonadism, and glucose intolerance. Major complications include cardiomyopathy, hypertension, obstructive sleep apnea, insulin resistance or diabetes mellitus, arthropathy, scoliosis, colonic polyps, and mass effects from macroadenomas. Subtypes include pituitary gigantism from adenoma, pituitary hyperplasia or ectopic GHRH excess, and genetic or syndromic forms. Inheritance depends on cause and may be autosomal dominant with incomplete penetrance, as in AIP or MEN1-related disease, X-linked in GPR101-associated disease, or sporadic from somatic mutation. Diagnosis relies on elevated age-adjusted IGF-1, failure of GH suppression during oral glucose tolerance testing, pituitary MRI, formal visual field testing when indicated, and confirmatory genetic testing in early-onset, familial, or syndromic cases. Treatment commonly combines transsphenoidal surgery with somatostatin analogs such as octreotide, lanreotide, or pasireotide, which inhibit GH secretion via somatostatin receptors, the GH receptor antagonist pegvisomant, which blocks IGF-1 generation, and dopamine agonists such as cabergoline, which suppress pituitary hormone secretion."
6,C0001261,Actinomycosis,D000196,"Actinomycosis (MeSH D000196) is a chronic, suppurative, granulomatous invasive bacterial infection caused most often by Actinomyces israelii and related anaerobic or microaerophilic Actinomyces species that are normal commensals of the oral, gastrointestinal, and female genital tracts; it is not an inherited disorder and has no disease-defining germline mutation, although host susceptibility is shaped by mucosal barrier disruption and immune-response genes and proteins involved in innate and adaptive defense, with representative components including TLR2/TLR4, NOD2, MYD88, NF-kB, TNF, IL1B, IL6, IL17, IFNG, and neutrophil/macrophage antimicrobial pathways. Pathobiology centers on polymicrobial synergy, biofilm-like aggregates, abscess formation, fibrosis, and sinus-tract development through activation of pattern-recognition receptor signaling, cytokine cascades, and fibroinflammatory tissue remodeling. Major clinical forms include cervicofacial, thoracic, abdominopelvic, pelvic/uterine-device-associated, central nervous system, and disseminated disease; typical findings are indurated masses, chronic pain, fever, weight loss, draining sinuses, sulfur granules, jaw or dental infection, pulmonary infiltrates or chest wall extension, bowel or pelvic masses, and occasional brain abscess. Common comorbidities and predisposing factors include poor dentition, recent dental procedures, aspiration, bowel perforation or surgery, diverticulitis, appendicitis, inflammatory bowel disease, prolonged intrauterine-device use, diabetes, malnutrition, alcoholism, malignancy, and immunosuppression; complications include osteomyelitis, fistulas, empyema, mediastinal spread, bowel obstruction, and intracranial abscess. Diagnosis relies on compatible chronic invasive disease plus demonstration of branching Gram-positive filamentous organisms and sulfur granules in pus or tissue, anaerobic culture or 16S rRNA-based identification, and imaging such as CT or MRI to define extent, while histology helps distinguish it from cancer, nocardiosis, and tuberculosis. Treatment is prolonged beta-lactam therapy, classically penicillin G followed by oral amoxicillin, which inhibit bacterial cell-wall peptidoglycan cross-linking; doxycycline, a 30S ribosomal inhibitor, and clindamycin, a 50S protein-s"
7,C0001264,"Actinomycosis, Cervicofacial",D000197,"Cervicofacial actinomycosis (UMLS C0001264) is a chronic, locally invasive, suppurative and granulomatous bacterial infection—classically the “lumpy jaw” form of actinomycosis—most often caused by endogenous oral Actinomyces species, especially Actinomyces israelii, with A. gerencseriae, A. naeslundii, A. viscosus, and polymicrobial copathogens such as Aggregatibacter, Fusobacterium, Bacteroides, and Streptococcus frequently contributing. It is an acquired infectious disease rather than a Mendelian disorder, so no specific inheritance pattern, driver mutation, or disease-defining gene is established; host susceptibility is instead linked to impaired mucosal barrier integrity after dental disease, extraction, trauma, irradiation, or surgery, and to immunologic factors involving neutrophil/macrophage dysfunction and inflammatory signaling through pattern-recognition pathways such as TLR2/TLR4, NF-κB, TNF-α, IL-1, and IL-6. Clinically it presents as a slowly progressive, indurated mandibular or submandibular mass with pain that may be mild, firm “woody” swelling, abscesses, draining sinus tracts, trismus, fistulae, and sulfur granules; subtypes are usually categorized by site, with cervicofacial disease being the commonest, and extension may involve osteomyelitis of the jaw, deep neck spaces, or rarely contiguous intracranial spread. Common comorbidities and predisposing conditions include poor dentition, periodontal disease, diabetes, malnutrition, alcoholism, and immunosuppression. Diagnosis rests on compatible clinical findings plus demonstration of branching filamentous Gram-positive organisms and sulfur granules in pus or tissue, anaerobic culture or increasingly 16S rRNA/MALDI-TOF identification, histopathology, and CT or MRI to define abscesses and bony invasion while excluding malignancy, nocardiosis, or tuberculosis. Treatment is prolonged antibiotics with source control: penicillin G or amoxicillin inhibit bacterial cell-wall peptidoglycan cross-linking via penicillin-binding proteins, doxycycline blocks 30S ribosomal protein synthesis, and clindamycin inhibits 50S-mediated peptide elongation; alternatives include ceftriaxone or macrolides, often combined with drainage or de"
8,C0001403,Addison Disease,D000224,"Addison disease is a chronic primary adrenal insufficiency caused by destruction or dysfunction of the adrenal cortex, leading to deficient glucocorticoid, mineralocorticoid, and often adrenal androgen production; in industrialized settings it is most often autoimmune, whereas infectious, infiltrative, hemorrhagic, metastatic, or genetic etiologies are less common. Key genetic associations include autoimmune polyendocrine syndrome type 1 due to biallelic AIRE mutations, X-linked adrenoleukodystrophy caused by ABCD1 variants, and congenital adrenal hypoplasia from NR0B1/DAX1 mutations; susceptibility to autoimmune Addison disease is also linked to HLA-DR3/DR4, CTLA4, PTPN22, and CYP27B1, while steroidogenic defects involving CYP11A1, STAR, CYP21A2, MC2R, or MRAP can produce related primary adrenal failure phenotypes. Central molecular features include impaired ACTH-MC2R-cAMP-PKA signaling in some inherited forms, autoimmune T-cell-mediated adrenalitis with 21-hydroxylase (CYP21A2) autoantibodies, disrupted cholesterol transport and steroidogenesis, and in adrenoleukodystrophy, peroxisomal very-long-chain fatty acid accumulation causing adrenal injury. Typical manifestations are fatigue, weight loss, anorexia, nausea, abdominal pain, orthostatic hypotension, salt craving, hyperpigmentation from excess POMC-derived ACTH/MSH, hyponatremia, hyperkalemia, and hypoglycemia; adrenal crisis may cause shock. Common comorbidities include autoimmune thyroid disease, type 1 diabetes, pernicious anemia, celiac disease, vitiligo, hypogonadism, and osteoporosis. Diagnosis rests on low morning cortisol with elevated ACTH, inadequate cortisol rise on cosyntropin stimulation, low aldosterone with high plasma renin in primary disease, electrolyte abnormalities, 21-hydroxylase antibodies, and etiology-directed testing such as adrenal CT, very-long-chain fatty acids, or genetic analysis. Treatment consists of glucocorticoid replacement with hydrocortisone, prednisone, or dexamethasone acting via glucocorticoid receptor-mediated transcriptional effects, plus fludrocortisone, a mineralocorticoid receptor agonist, and urgent parenteral hydrocortisone with isotonic saline and"
9,C0001622,Adrenocortical Hyperfunction,D000308,"Adrenocortical hyperfunction is a functional disorder of the adrenal cortex characterized by excessive secretion of glucocorticoids, mineralocorticoids, and/or adrenal androgens, most commonly manifesting as Cushing syndrome, primary hyperaldosteronism, or virilizing/feminizing adrenal disease; major subtypes include ACTH-dependent bilateral adrenal hyperplasia, ACTH-independent unilateral adenoma or adrenocortical carcinoma, and familial bilateral micronodular or macronodular hyperplasia. Its molecular basis often involves dysregulated cAMP/PKA signaling and steroidogenic pathways, with representative genetic lesions including PRKAR1A mutations in primary pigmented nodular adrenocortical disease, ARMC5 variants in primary bilateral macronodular adrenal hyperplasia, KCNJ5, CACNA1D, ATP1A1, and ATP2B3 mutations in aldosterone-producing adenomas, and less commonly TP53, CTNNB1, MEN1, APC, GNAS, PDE11A, PDE8B, or MC2R-related abnormalities; key proteins include steroidogenic acute regulatory protein, CYP11B1, CYP11B2, CYP17A1, and 11β-hydroxylase/aldosterone synthase. Clinical features reflect hormone excess: central obesity, moon facies, proximal myopathy, purple striae, hypertension, glucose intolerance or diabetes, hypokalemic alkalosis, hirsutism, menstrual irregularity, acne, osteoporosis, neuropsychiatric symptoms, and in severe cases infections and thromboembolism. Common comorbidities and complications include cardiovascular disease, metabolic syndrome, nephropathy, fractures, infertility, and adrenocortical carcinoma progression. Inheritance is usually sporadic, but autosomal dominant forms occur in Carney complex, MEN1, familial hyperaldosteronism, and Li-Fraumeni syndrome. Diagnosis relies on biochemical confirmation of autonomous steroid excess using late-night salivary or serum cortisol, 24-hour urinary free cortisol, dexamethasone suppression testing, plasma ACTH, aldosterone-renin ratio, serum DHEAS, electrolytes, and adrenal/ pituitary imaging, with adrenal venous sampling for subtype classification in hyperaldosteronism and histopathology when resected. Treatment depends on subtype and includes ketoconazole, metyrapone, and osilodrostat to inhibit"
