ID,Drug,Name,Smile,Description
0,DB00014,Goserelin,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,"Goserelin (DrugBank DB00014) is a synthetic decapeptide gonadotropin-releasing hormone agonist engineered from the native GnRH/LHRH peptide by strategic residue substitution, notably including a D-amino-acid at position 6 and a C-terminal azaglycine-derived modification that increase conformational stability, receptor affinity, and resistance to enzymatic degradation; structurally it is therefore a linear, highly polar, peptide-based endocrine modulator with amide-rich backbone functionality rather than a small heterocyclic organic compound. Chemically, it belongs to the class of peptide hormones and hormone analogs, more specifically GnRH agonists, and its core scaffold is the modified GnRH decapeptide scaffold shared across this therapeutic family. Similar drugs include leuprolide, triptorelin, histrelin, buserelin, and nafarelin, which also act as long-acting GnRH receptor agonists, whereas degarelix is a mechanistically related but antagonistic comparator within the broader GnRH-modulating space. Pharmacokinetically, goserelin is administered as a subcutaneous depot implant because oral delivery is not feasible for a peptide; systemic absorption occurs gradually from the depot, producing sustained exposure over weeks to months depending on formulation, distribution is largely confined to extracellular fluid with limited classic tissue partitioning expected for a hydrophilic peptide, protein binding is not typically the dominant determinant of disposition, metabolism occurs mainly through peptide hydrolysis and proteolytic degradation rather than CYP-mediated biotransformation, and elimination proceeds via metabolism followed by renal excretion of peptide fragments and some unchanged drug, with terminal disposition governed substantially by depot release kinetics. Its pharmacodynamic effect is an initial stimulation of the gonadotropin-releasing hormone receptor, now designated GNRHR, in the anterior pituitary causing a transient rise in luteinizing hormone and follicle-stimulating hormone and a consequent testosterone or estradiol flare, followed by receptor desensitization and suppression of gonadotropin secretion with marked reduction in gonadal steroid production; GNRHR is the principal validated target protein. Toxicity is dominated by exaggerated hypoandrogenic or hypoestrogenic physiology rather than classic intrinsic cytotoxicity: examples include tumor flare with transient worsening of bone pain or urinary obstruction in prostate cancer, loss of bone mineral density and osteoporosis with prolonged use, metabolic effects such as impaired glucose tolerance, possible cardiovascular risk amplification in susceptible patients, and"
1,DB00027,Gramicidin D,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,"Gramicidin D (DrugBank DB00027) is a naturally derived peptide antibiotic produced by Bacillus brevis and is best described structurally as a heterogeneous mixture of closely related linear hydrophobic pentadecapeptides, principally gramicidins A, B, and C, composed of alternating L- and D-amino acids that adopt a beta-helical conformation and dimerize head-to-head within lipid bilayers to form transmembrane ion channels; chemically it belongs to the polypeptide/peptide antibiotic class, more specifically the gramicidin family of ionophoric membrane-active agents, and its core scaffold is a linear alternating stereochemistry peptidic channel-forming scaffold enriched in hydrophobic residues such as valine, leucine, alanine, and tryptophan, which distinguishes it from cyclic peptide antibiotics. Similar drugs include other membrane-disrupting peptide antibiotics and topical polypeptides such as tyrothricin, bacitracin, polymyxin B, colistin, and to a mechanistically related extent amphotericin B as a channel-forming membrane-active anti-infective, although gramicidin is particularly associated with monovalent cation channel formation rather than detergent-like membrane dissolution. Its pharmacokinetics are limited by marked systemic toxicity, so it is used almost exclusively topically or locally: cutaneous, ophthalmic, otic, or oropharyngeal administration yields minimal intended systemic absorption across intact tissue, distribution is therefore largely confined to the site of application, classical hepatic metabolism is poorly characterized and probably limited because clinically relevant systemic exposure is ordinarily avoided, and excretion data are sparse for the same reason; if absorbed systemically, peptide degradation by proteolysis and tissue partitioning into membranes would be expected, but systemic use is not therapeutically acceptable. Toxicity is dominated by potent membrane injury in mammalian as well as bacterial cells, with marked hemolytic and cytolytic effects, irritation to skin or mucosa, and severe local tissue damage or systemic toxicity if inappropriately administered parenterally; examples include erythrocyte lysis, epithelial irritation, nephrotoxicity risk from membrane disruption, and dangerous effects on excitable tissues through altered ion conductance. Rather than acting on a conventional enzyme or receptor, its functional targets are the phospholipid membranes of susceptible organisms, where it forms channels that permit Na+ and K+ flux and collapse transmembrane ion gradients;"
2,DB00035,Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,"Desmopressin (DrugBank DB00035) is a synthetic vasopressin analog with a compact peptide structure characterized by a cyclic disulfide-bridged ring and a short C-terminal tail, distinguished from the natural antidiuretic hormone by deamination at the N-terminus and substitution of L-arginine with D-arginine near the C-terminus, modifications that increase metabolic stability, prolong antidiuretic action, and confer marked selectivity for vasopressin V2 receptors over vasopressor V1 receptors; chemically it belongs to the peptide hormone/oligopeptide class and more specifically to cyclic neurohypophyseal hormone analogs, with a vasopressin-like disulfide-constrained peptide scaffold. Similar drugs include vasopressin itself, lypressin, terlipressin, and other antidiuretic or vasopressinergic agents such as arginine vasopressin analogs used for diabetes insipidus, bleeding disorders, or vasodilatory shock, although desmopressin is notably more V2-selective and less vasoconstrictive than vasopressin. Pharmacokinetically, desmopressin is administered intranasally, orally, sublingually, or parenterally; oral absorption is low and variable because of peptide degradation and poor membrane permeability, intranasal absorption is better but still variable, and subcutaneous or intravenous dosing yields the most reliable exposure; it distributes mainly in extracellular fluid with limited tissue penetration typical of small peptides, shows relatively low plasma protein binding, and has a longer functional duration than native vasopressin because deamination and D-amino-acid substitution reduce susceptibility to aminopeptidases and other peptidases; metabolism occurs primarily through peptide catabolism rather than cytochrome P450 pathways, and elimination is largely renal with unchanged drug and peptide fragments excreted in urine, so exposure and toxicity risk can increase in renal impairment. Its principal target protein is the vasopressin V2 receptor, encoded by AVPR2, on renal collecting duct principal cells where receptor activation increases cAMP signaling and promotes aquaporin-2 trafficking to the apical membrane, enhancing water reabsorption; in endothelial cells, V2-mediated release of von Willebrand factor and factor VIII underlies hemostatic use, while much weaker activity at vasopressin V1a receptors may occur at higher"
3,DB00091,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,"Cyclosporine (DrugBank DB00091) is a highly lipophilic, neutral, cyclic undecapeptide natural product originally isolated from Tolypocladium inflatum, characterized structurally by an 11-residue macrocyclic peptide ring rich in N-methylated amino acids and containing the unusual residue MeBmt, features that constrain conformation, reduce hydrogen-bond donor exposure, and enhance membrane permeability; chemically it belongs to the calcineurin-inhibitor immunosuppressants and more broadly to cyclic peptide fungal metabolites, with a macrocyclic N-methylated peptide scaffold that is closely related to other immunophilin-binding agents, while pharmacologically similar drugs include tacrolimus and pimecrolimus as calcineurin-pathway inhibitors and voclosporin as a structural analog of cyclosporine. Its principal target protein is cyclophilin A, with binding also described to other cyclophilin isoforms such as cyclophilin B and cyclophilin D; the cyclosporine-cyclophilin complex then functionally inhibits calcineurin, preventing NFAT dephosphorylation and suppressing IL-2 transcription and T-cell activation. Pharmacokinetically, oral absorption is incomplete and highly variable because of poor aqueous solubility and significant intestinal first-pass effects, though microemulsion formulations improve consistency; distribution is extensive with high partitioning into erythrocytes and tissues and substantial binding to lipoproteins and plasma proteins; metabolism occurs predominantly in the liver and intestinal wall via CYP3A4 and CYP3A5 with transport strongly influenced by P-glycoprotein, creating numerous clinically important drug-drug interactions; excretion is mainly biliary as metabolites with minimal unchanged renal elimination. Toxicity is dominated by dose- and exposure-related nephrotoxicity from afferent arteriolar vasoconstriction and chronic tubulointerstitial injury, with important additional toxicities including hypertension, neurotoxicity such as tremor or seizures, hepatotoxicity, hyperkalemia, hypomagnesemia, dyslipidemia, gingival hyperplasia, hirsutism, and increased risks of serious infection and malignancy, especially lymphoma and skin cancer; overdose or interacting CYP3A inhibitors can accentuate renal failure and neurologic effects. Its major indications are prevention and treatment of solid-organ transplant rejection, particularly kidney, liver, and heart transplantation, prophylaxis or treatment of graft-versus-host"
4,DB00104,Octreotide,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccccc2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,"Octreotide (DrugBank DB00104) is a synthetic cyclic octapeptide engineered as a long-acting somatostatin analog, characterized structurally by a compact peptide framework containing a disulfide bridge that constrains the molecule into the bioactive conformation required for high-affinity receptor binding, with strategically incorporated non-natural or modified residues that enhance enzymatic stability and prolong biologic activity relative to native somatostatin; chemically it belongs to the peptide therapeutic and peptidomimetic hormone class, and its core scaffold is the conformationally restricted cyclic somatostatin pharmacophore that preserves the key receptor-recognition motif while truncating the parent hormone to a metabolically robust octapeptide. Closely related or similar drugs include other somatostatin receptor ligands such as lanreotide and pasireotide, as well as the radiolabeled diagnostic or therapeutic congeners derived from octreotide-like scaffolds such as pentetreotide and lutetium Lu 177 dotatate-type receptor-targeting constructs. Pharmacokinetically, subcutaneous octreotide is rapidly absorbed with relatively high systemic bioavailability and reaches peak concentrations within hours, whereas long-acting intramuscular depot formulations release drug gradually over weeks; distribution is mainly within extracellular fluid with moderate plasma protein binding, receptor-rich tissue uptake, and limited penetration into the central nervous system; metabolism occurs largely through peptide degradation and hepatic biotransformation to smaller inactive fragments rather than classic CYP-dominant pathways; excretion is predominantly renal for unchanged drug and metabolites, with reduced clearance and prolonged exposure possible in renal impairment and altered elimination also reported in hepatic dysfunction. Its toxicity profile is generally dominated by exaggerated pharmacology rather than direct cytotoxicity, including inhibition of endocrine and gastrointestinal secretions, with clinically important examples such as dysglycemia from suppression of insulin and glucagon, cholelithiasis or biliary sludge from reduced gallbladder contractility and bile flow, steatorrhea and fat-soluble nutrient malabsorption from inhibition of pancreatic exocrine secretion, bradycardia or conduction abnormalities in susceptible patients, and rare severe hypersensitivity or pancreatitis. The principal target proteins are somatostatin receptors, especially SSTR2 and SSTR5, with lesser activity at SSTR3, leading to inhibition of adenylate cyclase signaling, suppression of calcium-dependent hormone release, and reduction of splanchnic blood flow; these receptor actions under"
5,DB00106,Abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,"Abarelix (DB00106) is a synthetic decapeptide gonadotropin-releasing hormone antagonist built on a highly modified GnRH-like peptide framework in which multiple non-natural amino acid substitutions and terminal modifications increase receptor affinity, metabolic stability, and antagonistic activity; chemically it is classified as a peptide endocrine modulator and specifically an LHRH/GnRH antagonist, with a peptide backbone scaffold closely related to other depot GnRH antagonists such as degarelix and, more broadly, to cetrorelix and ganirelix. Its principal target is the gonadotropin-releasing hormone receptor, GNRHR, on pituitary gonadotrophs, where it rapidly suppresses luteinizing hormone and follicle-stimulating hormone release, causing prompt reduction of testosterone without the initial flare seen with GnRH agonists. Pharmacokinetically, it is administered intramuscularly as a depot formulation, is slowly absorbed from the injection site, distributes mainly within extracellular fluid with limited oral bioavailability as expected for peptides, undergoes proteolytic peptide degradation rather than major CYP-mediated biotransformation, and is eliminated through metabolism with excretion of peptide fragments in urine and probably bile/feces. It was indicated for palliative treatment of advanced symptomatic prostate cancer, particularly when immediate chemical castration was desired. Toxicity is dominated by serious immediate systemic allergic or histamine-mediated reactions, including anaphylactoid events, hypotension, syncope, and urticaria, which restricted use; other adverse effects include QT-related concern secondary to androgen deprivation, hot flushes, erectile dysfunction, decreased libido, gynecomastia, injection-site pain, fatigue, and elevations in liver enzymes. Clinically, abarelix was used to achieve rapid testosterone suppression in men with metastatic or locally advanced prostate cancer, especially in patients at risk from tumor flare complications such as bone pain, urinary obstruction, or spinal cord compression."
6,DB00122,Choline,C[N+](C)(C)CCO,"Choline (DrugBank DB00122) is a small, highly polar quaternary ammonium alcohol composed of a permanently charged trimethylated nitrogen attached through a two-carbon linker to a terminal hydroxyl group, placing it in the class of essential nutrient-like ammonium compounds, specifically quaternary ammonium alcohols and lipotropic methyl-donor agents, with a minimal 2-hydroxyethyltrimethylammonium scaffold that also underlies related cholinergic or phospholipid-associated molecules. Similar compounds include acetylcholine, betaine, citicoline, alpha-glycerophosphocholine, and carnitine-like zwitterionic nutrients, which share cationic headgroup features or methyl-donor biology. Pharmacokinetically, choline is efficiently absorbed from the intestine by carrier-mediated and passive processes, distributed widely in plasma and tissues with high uptake in liver, kidney, brain, and placenta, incorporated into phosphatidylcholine and sphingomyelin pools, oxidized to betaine in liver and kidney, acetylated to acetylcholine in cholinergic neurons, and eliminated mainly as metabolized products with some urinary excretion; gut microbiota may also convert it to trimethylamine, later oxidized to trimethylamine N-oxide. Known biological targets include choline acetyltransferase, high-affinity choline transporter SLC5A7, choline kinase alpha and beta, acetylcholine receptors indirectly via acetylcholine biosynthesis, and phospholipid-synthesizing enzymes in the Kennedy pathway. Clinically, choline is used as a nutritional supplement or component of parenteral nutrition to prevent or treat deficiency, hepatic steatosis, liver dysfunction, muscle damage, and neurodevelopmental impairment, while adverse effects at higher doses include fishy body odor, sweating, salivation, gastrointestinal upset, hypotension, and rarely hepatotoxic or pro-atherogenic concern through excess trimethylamine N-oxide generation."
7,DB00123,Lysine,NCCCC[C@H](N)C(O)=O,"Lysine (DrugBank DB00123) is a basic, essential α-amino acid whose structure consists of the canonical amino acid backbone bearing a flexible four-methylene side chain terminating in a primary ε-amino group, making it strongly cationic at physiologic pH; chemically it belongs to the proteinogenic essential amino acids, specifically the dibasic aliphatic amino acid class, and its scaffold is best described as a linear α-amino acid scaffold with an n-butylammonium side chain. Similar agents include other cationic amino acids such as arginine and ornithine, as well as amino acid formulations used in parenteral nutrition. After oral administration, lysine is generally well absorbed in the small intestine via sodium-independent cationic amino acid transport systems, distributed widely into extracellular and intracellular pools with extensive incorporation into proteins, limited direct metabolism through saccharopine and related catabolic pathways mainly in the liver, and excreted principally as metabolic products with some unchanged renal elimination; handling is influenced by renal tubular amino acid transport. Its pharmacology is mediated less by classic receptor action than by participation in protein synthesis and competition at cationic amino acid transporters, with relevant biological partners including SLC7A1/CAT-1, SLC7A2, and the heteromeric transporter SLC7A7/SLC3A2. Clinically, lysine is used for dietary supplementation and prevention or treatment of lysine deficiency, especially in malnutrition, restricted diets, and parenteral nutrition, and has also been used adjunctively for recurrent herpes simplex symptoms. Toxicity is generally low, but excessive intake may cause gastrointestinal intolerance such as nausea, abdominal pain, diarrhea, and rare metabolic or renal complications in predisposed patients; clinical use therefore centers on nutritional repletion and supportive metabolic care."
8,DB00125,Arginine,N=C(N)NCCC[C@H](N)C(=O)O,"Arginine (DrugBank DB00125) is a basic, polar, proteinogenic α-amino acid whose structure consists of an α-carbon bearing a primary amine and carboxylate, with a three-methylene side chain terminating in a strongly basic guanidinium group that is protonated at physiologic pH; chemically it belongs to the cationic amino acids and amino acid/nitric oxide precursor class, and its core scaffold is the α-amino acid backbone with a terminal guanidino alkyl substituent. Closely related or similar agents include L-citrulline, ornithine, lysine, and nitric oxide donor strategies such as sodium nitroprusside or organic nitrates by functional analogy. Pharmacokinetically, oral arginine is absorbed in the small intestine via cationic amino acid transporters, undergoes substantial first-pass extraction in the gut and liver, distributes widely in extracellular and intracellular water, crosses into metabolically active tissues, and is metabolized primarily by arginase to ornithine and urea, and by nitric oxide synthases to nitric oxide plus citrulline; additional fates include protein incorporation and creatine/polyamine biosynthesis, with renal excretion of unchanged drug generally limited except at high loads or renal dysfunction. Known targets include nitric oxide synthases NOS1, NOS2, and NOS3, arginase 1 and 2, and cationic amino acid transporters such as SLC7A1/CAT-1. It is used for arginine deficiency states, urea cycle disorders, hyperammonemia, and as adjunctive therapy in some cardiovascular or endothelial dysfunction settings; adverse effects commonly include nausea, abdominal pain, diarrhea, bloating, headache, hypotension, and electrolyte disturbance, while toxicity at excessive doses may cause marked vasodilation, worsening asthma or herpes reactivation, hyperkalemia in susceptible patients, and concern in acute myocardial infarction settings. Clinically, it is given orally or intravenously for metabolic supplementation, ammonia-lowering support, and selected diagnostic or nutritional applications."
9,DB00126,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,"Ascorbic acid (DrugBank DB00126) is a small, highly polar vitamin C molecule composed of a five-membered unsaturated lactone ring bearing an enediol motif and multiple hydroxyl groups, a structure responsible for its strong reducing and metal-chelating properties; chemically it is classified as a water-soluble carbohydrate-derived vitamin and enediol lactone, with a furanone-like ascorbate scaffold. Closely related agents include sodium ascorbate, calcium ascorbate, ascorbyl palmitate, and the oxidized congener dehydroascorbic acid, while erythorbic acid is a stereoisomer with similar redox behavior. Pharmacokinetically, oral absorption occurs in the small intestine through saturable sodium-dependent vitamin C transporters SLC23A1 and SLC23A2, with dehydroascorbic acid also entering cells via facilitative glucose transporters such as GLUT1/SLC2A1; distribution is wide, with high concentrations in leukocytes, adrenal glands, pituitary, and ocular tissues; metabolism involves reversible oxidation to dehydroascorbic acid and further breakdown to diketogulonic acid, oxalate, and other metabolites; renal reabsorption is saturable, so excess is excreted in urine. Known targets and functional protein interactions include prolyl and lysyl hydroxylases involved in collagen maturation, dopamine beta-hydroxylase, peptidylglycine alpha-amidating monooxygenase, and regulation of HIF hydroxylases through its role as a reductant. It is indicated for prevention and treatment of vitamin C deficiency and scurvy, and used clinically in supplementation states such as malnutrition, alcoholism, burn recovery, wound healing support, pregnancy, and dialysis. Adverse effects are usually dose related and include nausea, abdominal cramping, diarrhea, and headache; toxicity is generally low but excessive dosing may precipitate hyperoxaluria, calcium oxalate nephrolithiasis, rare oxalate nephropathy, and hemolysis in susceptible patients such as some with G6PD deficiency."
