Drug,Disease
5,0
836,0
915,0
1,1
2,1
4,1
5,1
10,1
17,1
20,1
22,1
23,1
28,1
33,1
42,1
49,1
51,1
77,1
100,1
107,1
112,1
116,1
117,1
138,1
148,1
159,1
160,1
183,1
186,1
203,1
204,1
205,1
216,1
219,1
221,1
229,1
230,1
233,1
238,1
240,1
252,1
260,1
282,1
292,1
296,1
300,1
304,1
306,1
318,1
320,1
321,1
335,1
356,1
367,1
370,1
376,1
379,1
390,1
403,1
414,1
417,1
421,1
428,1
441,1
451,1
456,1
464,1
466,1
475,1
491,1
496,1
502,1
510,1
521,1
522,1
524,1
531,1
532,1
549,1
552,1
566,1
567,1
582,1
602,1
605,1
635,1
638,1
639,1
645,1
646,1
649,1
651,1
656,1
694,1
696,1
707,1
716,1
719,1
730,1
732,1
748,1
766,1
806,1
809,1
812,1
823,1
836,1
842,1
845,1
847,1
859,1
862,1
874,1
881,1
886,1
887,1
891,1
898,1
901,1
907,1
908,1
910,1
911,1
915,1
917,1
928,1
931,1
948,1
956,1
959,1
962,1
970,1
971,1
981,1
986,1
1029,1
1035,1
1036,1
1038,1
1039,1
1043,1
1044,1
1045,1
1050,1
1054,1
1056,1
356,2
403,2
638,2
661,2
1038,2
1039,2
55,3
93,3
94,3
106,3
215,3
338,3
393,3
442,3
511,3
538,3
985,3
28,4
79,4
105,4
120,4
140,4
170,4
199,4
242,4
263,4
312,4
325,4
335,4
393,4
441,4
444,4
448,4
501,4
515,4
554,4
568,4
585,4
594,4
620,4
643,4
655,4
657,4
779,4
900,4
130,5
143,5
170,5
283,5
445,5
627,5
157,6
272,6
457,6
33,7
532,7
577,7
590,7
638,7
877,7
898,7
957,7
1046,7
265,8
301,8
221,9
233,9
451,9
768,9
1056,9
120,10
243,10
287,10
380,10
489,10
634,10
821,10
919,10
1021,10
1022,10
68,11
233,11
49,12
55,12
191,12
243,12
325,12
568,12
631,12
900,12
83,13
93,13
285,13
294,13
733,13
743,13
94,14
95,14
369,14
373,14
451,14
543,14
587,14
598,14
773,14
1056,14
4,15
17,15
22,15
33,15
36,15
42,15
54,15
63,15
83,15
93,15
94,15
95,15
97,15
106,15
116,15
160,15
180,15
184,15
190,15
194,15
205,15
215,15
221,15
230,15
233,15
247,15
254,15
262,15
270,15
275,15
276,15
283,15
296,15
306,15
313,15
315,15
321,15
326,15
335,15
342,15
382,15
385,15
392,15
417,15
428,15
453,15
475,15
487,15
501,15
511,15
521,15
531,15
535,15
538,15
562,15
563,15
587,15
626,15
638,15
665,15
673,15
707,15
709,15
720,15
729,15
734,15
738,15
757,15
770,15
777,15
804,15
832,15
849,15
855,15
868,15
873,15
876,15
922,15
955,15
959,15
1043,15
1044,15
1045,15
1046,15
1054,15
100,16
117,16
170,16
181,16
233,16
329,16
333,16
369,16
656,16
774,16
797,16
4,17
47,17
69,17
139,17
226,17
259,17
323,17
421,17
570,17
588,17
600,17
652,17
22,18
45,18
50,18
54,18
81,18
118,18
187,18
198,18
221,18
233,18
245,18
296,18
307,18
315,18
358,18
372,18
406,18
417,18
436,18
451,18
463,18
484,18
492,18
494,18
504,18
552,18
585,18
632,18
633,18
638,18
673,18
679,18
725,18
755,18
762,18
775,18
787,18
789,18
820,18
912,18
944,18
1008,18
1037,18
1046,18
1056,18
10,19
17,19
18,19
33,19
51,19
73,19
89,19
105,19
107,19
117,19
159,19
200,19
203,19
219,19
229,19
230,19
282,19
306,19
320,19
348,19
357,19
370,19
371,19
396,19
414,19
415,19
459,19
464,19
491,19
496,19
502,19
508,19
533,19
564,19
566,19
586,19
624,19
635,19
638,19
639,19
646,19
656,19
694,19
700,19
716,19
747,19
806,19
809,19
842,19
862,19
885,19
901,19
907,19
910,19
911,19
959,19
1035,19
10,20
19,20
22,20
32,20
42,20
62,20
95,20
117,20
147,20
151,20
170,20
290,20
296,20
298,20
299,20
321,20
324,20
367,20
421,20
428,20
464,20
465,20
485,20
521,20
530,20
552,20
563,20
585,20
599,20
635,20
643,20
694,20
763,20
800,20
854,20
892,20
1035,20
12,21
19,21
22,21
34,21
42,21
65,21
76,21
79,21
124,21
143,21
166,21
171,21
173,21
200,21
210,21
212,21
294,21
312,21
319,21
321,21
343,21
355,21
357,21
359,21
408,21
413,21
428,21
448,21
450,21
496,21
497,21
535,21
543,21
545,21
568,21
609,21
616,21
620,21
634,21
639,21
641,21
657,21
671,21
672,21
695,21
